filename,layers,seed,accuracy,patchability,sparsity,category,efficiency,connections,path,directory,score
model_cifar10_2layers_seed18_acc0.35_patch0.000_sparse0.022_BEST_EFFICIENCY_SPARSITY_0.022.pt,2,18,0.35,0.0,0.022,BEST_EFFICIENCY_SPARSITY_0.022,40.32763553772638,8678.912,data/promising_models/20250707_020938/model_cifar10_2layers_seed18_acc0.35_patch0.000_sparse0.022_BEST_EFFICIENCY_SPARSITY_0.022.pt,20250707_020938,0.3751814879917384
model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.026_BEST_EFFICIENCY_SPARSITY_0.026.pt,2,6,0.36,0.0,0.026,BEST_EFFICIENCY_SPARSITY_0.026,35.09833774272451,10256.895999999999,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.026_BEST_EFFICIENCY_SPARSITY_0.026.pt,20250707_020938,0.36909294203651916
model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.026_BEST_EFFICIENCY_GLOBAL.pt,2,6,0.36,0.0,0.026,BEST_EFFICIENCY_GLOBAL,35.09833774272451,10256.895999999999,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.36_patch0.000_sparse0.026_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.36909294203651916
model_cifar10_2layers_seed6_acc0.35_patch0.000_sparse0.024_BEST_EFFICIENCY_GLOBAL.pt,2,6,0.35,0.0,0.024,BEST_EFFICIENCY_GLOBAL,36.96699924291585,9467.904,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.35_patch0.000_sparse0.024_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.36450385791569984
model_cifar10_2layers_seed6_acc0.35_patch0.000_sparse0.024_BEST_EFFICIENCY_SPARSITY_0.024.pt,2,6,0.35,0.0,0.024,BEST_EFFICIENCY_SPARSITY_0.024,36.96699924291585,9467.904,data/promising_models/20250707_020938/model_cifar10_2layers_seed6_acc0.35_patch0.000_sparse0.024_BEST_EFFICIENCY_SPARSITY_0.024.pt,20250707_020938,0.36450385791569984
model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,3,10,0.1,0.956,0.01,BEST_PATCHABILITY_GLOBAL,24.87265202164916,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,20250707_065048,0.3629190242568249
model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,3,10,0.1,0.956,0.01,BEST_EFFICIENCY_SPARSITY_0.010,24.87265202164916,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_065048,0.3629190242568249
model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,3,10,0.1,0.956,0.01,BEST_EFFICIENCY_GLOBAL,24.87265202164916,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,20250707_065048,0.3629190242568249
model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,3,10,0.1,0.956,0.01,BEST_PATCHABILITY_SPARSITY_0.010,24.87265202164916,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed10_acc0.10_patch0.956_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,20250707_065048,0.3629190242568249
model_cifar10_2layers_seed7_acc0.36_patch0.000_sparse0.028_BEST_EFFICIENCY_GLOBAL.pt,2,7,0.36,0.0,0.028,BEST_EFFICIENCY_GLOBAL,32.59131361824418,11045.888,data/promising_models/20250707_020938/model_cifar10_2layers_seed7_acc0.36_patch0.000_sparse0.028_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.36112746352453556
model_cifar10_2layers_seed7_acc0.36_patch0.000_sparse0.028_BEST_EFFICIENCY_SPARSITY_0.028.pt,2,7,0.36,0.0,0.028,BEST_EFFICIENCY_SPARSITY_0.028,32.59131361824418,11045.888,data/promising_models/20250707_020938/model_cifar10_2layers_seed7_acc0.36_patch0.000_sparse0.028_BEST_EFFICIENCY_SPARSITY_0.028.pt,20250707_020938,0.36112746352453556
model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.034_BEST_EFFICIENCY_SPARSITY_0.034.pt,2,13,0.37,0.0,0.034,BEST_EFFICIENCY_SPARSITY_0.034,27.585458258579223,13412.864000000001,data/promising_models/20250707_020938/model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.034_BEST_EFFICIENCY_SPARSITY_0.034.pt,20250707_020938,0.3557488532655714
model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.034_BEST_EFFICIENCY_GLOBAL.pt,2,13,0.37,0.0,0.034,BEST_EFFICIENCY_GLOBAL,27.585458258579223,13412.864000000001,data/promising_models/20250707_020938/model_cifar10_2layers_seed13_acc0.37_patch0.000_sparse0.034_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.3557488532655714
